# Matter power spectrum P(k) at redshift z=10
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.087365308451e-02       3.230574397564e+02 
       2.100590635878e-02       3.225096862299e+02 
       2.113823719520e-02       3.219495114509e+02 
       2.127064709831e-02       3.213770723976e+02 
       2.140313760942e-02       3.207924775515e+02 
       2.153571030742e-02       3.201962172770e+02 
       2.166836680964e-02       3.195876474209e+02 
       2.180110877266e-02       3.189673138626e+02 
       2.193393789327e-02       3.183365617917e+02 
       2.206685590930e-02       3.176947019027e+02 
       2.219986460063e-02       3.170416237370e+02 
       2.233296579017e-02       3.163782069219e+02 
       2.246616134478e-02       3.157042021944e+02 
       2.259945317641e-02       3.150196009206e+02 
       2.273284324311e-02       3.143252907386e+02 
       2.286633355014e-02       3.136206832164e+02 
       2.299992615110e-02       3.129068091872e+02 
       2.313362314912e-02       3.121831858250e+02 
       2.326742669807e-02       3.114505684092e+02 
       2.340133900379e-02       3.107092353259e+02 
       2.353536232536e-02       3.099592853574e+02 
       2.366949897648e-02       3.091997229539e+02 
       2.380375132678e-02       3.084318287512e+02 
       2.393812180328e-02       3.076559485057e+02 
       2.407261289180e-02       3.068717311015e+02 
       2.420722713852e-02       3.060796704907e+02 
       2.434196715146e-02       3.052804398972e+02 
       2.447683560216e-02       3.044734029645e+02 
       2.461183522726e-02       3.036582795788e+02 
       2.474696883025e-02       3.028365513154e+02 
       2.488223928324e-02       3.020082672411e+02 
       2.501764952876e-02       3.011718872282e+02 
       2.515320258161e-02       3.003294311299e+02 
       2.528890153088e-02       2.994810129519e+02 
       2.542474954189e-02       2.986265212026e+02 
       2.556074985830e-02       2.977647720895e+02 
       2.569690580423e-02       2.968968814737e+02 
       2.583322078649e-02       2.960240899105e+02 
       2.596969829688e-02       2.951449897920e+02 
       2.610634191455e-02       2.942609117259e+02 
       2.624315530844e-02       2.933707585153e+02 
       2.638014223984e-02       2.924757189051e+02 
       2.651730656499e-02       2.915760477869e+02 
       2.665465223784e-02       2.906715742307e+02 
       2.679218331281e-02       2.897608598039e+02 
       2.692990394772e-02       2.888461420097e+02 
       2.706781840682e-02       2.879277270620e+02 
